Trial,Condition_Number
0,11.06769036485406
1,11.717551539905273
2,11.11678015228767
3,11.210841087595389
4,11.75735250623189
5,11.55182759372802
6,11.400060589976103
7,11.238136141763425
8,11.396848219465195
9,11.377895130763214
10,11.14083554401567
11,11.467786775349829
12,11.23747573156882
13,11.287105104533447
14,11.578488061167265
15,11.451706499114847
16,11.62827561702907
17,11.135493432924832
18,11.66911539939069
19,11.727913528989442
20,11.181063382104039
21,11.354323048505545
22,11.579281346935279
23,11.810147641387756
24,11.587868148867349
25,11.397048603652655
26,11.359274483842865
27,11.582815347894313
28,11.507431642489143
29,11.634334929525577
30,11.090073384449333
31,11.443278439768477
32,11.426327759929192
33,11.89369936632458
34,11.322705302378122
35,11.517898753265504
36,11.330820121519988
37,11.592313073584728
38,11.020609257904304
39,11.621100770573136
40,11.645823979069732
41,11.409330364771582
42,11.074529096476896
43,11.045104237826898
44,11.943489068641778
45,11.600858248828995
46,11.22198805680026
47,11.328227655044312
48,11.540196310720292
49,11.563524698849253
50,11.296779776060006
51,11.130620269851365
52,11.3506343922958
53,11.27528838298534
54,11.428181315112655
55,11.196693682828233
56,11.214893027003894
57,11.651490769661956
58,11.821844308160221
59,11.772785156813496
60,11.427603812201632
61,11.556848236382388
62,11.984302790313793
63,11.796790108914744
64,11.278309189792106
65,11.208552684031853
66,11.484541103705197
67,11.418601528242826
68,11.365542173425819
69,11.027672217008222
70,11.470623453934598
71,11.335633458848232
72,11.389224869347384
73,11.165927038167876
74,11.50055318083598
75,11.995880460316963
76,11.692021936055372
77,11.147262468918557
78,11.776186816425408
79,11.311775874353287
80,11.713341385229967
81,11.516501435787815
82,11.846520490275875
83,11.657568290281938
84,11.154376738902341
85,11.610852736866022
86,11.28135110752223
87,11.415733521112745
88,11.432440102710801
89,11.380480344736663
90,11.61676313422084
91,11.460620460822245
92,11.228947449685455
93,11.092867976352675
94,11.14386742374576
95,11.806644412142093
96,11.839951851703239
97,11.195281937582985
98,11.415887424147357
99,11.412070427556245
100,11.410485804965688
101,11.49398145486802
102,11.282263976654509
103,11.190668549733994
104,11.655935879898513
105,11.632326580793976
106,11.478036426374562
107,11.362914196387669
108,11.52226307380466
109,11.678603526884837
110,11.419486312463068
111,11.356205483254517
112,11.17459771302233
113,11.404856528859908
114,11.696693071006113
115,11.688925724764891
116,11.544087252474348
117,11.055473886051978
118,11.318156231258643
119,11.347482223177803
120,11.397440877519168
121,11.727691344993527
122,11.458593440567578
123,11.52226441189511
124,11.315981645204735
125,11.378142306359504
126,11.555416644398331
127,11.722086236098962
128,11.237573879428247
129,11.394870804771958
130,11.491630646031815
131,11.81266838772265
132,11.616817960142663
133,11.525401911537992
134,11.449474941413062
135,11.72599193539254
136,11.398874079519112
137,11.603141250651943
138,11.770999103313503
139,11.510181199340211
140,11.309072905164532
141,11.351308673414872
142,11.488233160837309
143,11.407143679870542
144,11.293257434638504
145,11.408735724161174
146,11.905110591240904
147,11.360454735504995
148,11.24443078466425
149,11.7471373286768
150,10.980102635363012
151,11.163715499647461
152,11.194981717197082
153,11.52842835289454
154,11.351482829228232
155,11.57236559787997
156,11.357702762683767
157,11.510218940646721
158,11.604150993814597
159,11.515176972321717
160,11.537993642302157
161,11.136256763471316
162,11.520379911193123
163,11.475828901751909
164,11.407754433706822
165,11.356636066257337
166,10.774355466866332
167,11.476764203254904
168,11.242241821152287
169,11.256340129589793
170,11.402287719288148
171,11.651679404429657
172,11.555209370559236
173,11.692493051438165
174,11.60024351526124
175,11.437181989849918
176,11.299518320285921
177,11.241206559636845
178,11.656553619023091
179,11.697117745641721
180,11.42186528900568
181,12.099368220059578
182,10.963785203215236
183,11.124460328535484
184,11.29701221338816
185,11.687462770228873
186,11.32261795621872
187,11.609261606114227
188,11.697543684878527
189,11.198905897082133
190,11.14243766436882
191,11.204582610207375
192,11.923542050988488
193,11.29669764956718
194,11.3992845130746
195,11.491950910708722
196,10.96029501610132
197,11.16307009915116
198,11.074133094351971
199,11.096287815460084
200,11.75995189543945
